Current Variable Name,Suggested New Name,Reason for Change,Approximate Line Numbers,Category
_mat_rod,rodrigues_matrix,Remove underscore prefix,883,Local Variable
_vec,rotation_vector,Remove underscore prefix,883,Local Variable
_phi,rotation_angle,Remove underscore prefix,883,Local Variable
_mat_identity,identity_matrix,Remove underscore prefix,886,Local Variable
_mat_rod_der,rodrigues_matrix_derivative,Remove underscore prefix,895,Local Variable
_vec_deriv,rotation_vector_derivative,Remove underscore prefix,895,Local Variable
_phi_deriv,rotation_angle_derivative,Remove underscore prefix,895,Local Variable
_mat_rod_var,rodrigues_matrix_variation,Remove underscore prefix,909,Local Variable
_vec_var,rotation_vector_variation,Remove underscore prefix,909,Local Variable
_func,shape_functions,Remove underscore prefix + more descriptive,909,Local Variable
permutation,permutation_tensor,More descriptive name,916,Local Variable
k,k,Loop counter - acceptable as is,921,Loop Counter
t,t,Loop counter - acceptable as is,937,Loop Counter
u,u,Loop counter - acceptable as is,939,Loop Counter
s,s,Loop counter - acceptable as is,1018,Loop Counter
r,r,Loop counter - acceptable as is,941,Loop Counter
phi_var,rotation_angle_variation,More descriptive name,999,Local Variable
phi_der_var,rotation_angle_derivative_variation,More descriptive name,1083,Local Variable
cs,cosine_value,More descriptive name,1164,Local Variable
sn,sine_value,More descriptive name,1166,Local Variable
_mat_lambda,lambda_matrix,Remove underscore prefix,1404,Local Variable
_vec1,first_vector,Remove underscore prefix,1404,Local Variable
_vec2,second_vector,Remove underscore prefix,1404,Local Variable
_mat_lambda_tmp,lambda_matrix_temporary,Remove underscore prefix,1407,Local Variable
tmp,temporary_value,More descriptive name,1409,Local Variable
cross_vec1_vec2,cross_product_vectors,More descriptive name,1415,Local Variable
l_cross_vec1_vec2,cross_product_length,More descriptive name,1417,Local Variable
e_hat,unit_vector,More descriptive name,1418,Local Variable
v1_cr_v2,vector_cross_product,More descriptive name,1426,Local Variable
T0_T,vector_dot_product,More descriptive name,1456,Local Variable
T0_T1,first_vector_second_derivative_dot,More descriptive name,1457,Local Variable
T01_T,first_derivative_second_vector_dot,More descriptive name,1458,Local Variable
T0xT,vector_cross_product,More descriptive name,1459,Local Variable
T0xT1,first_vector_second_derivative_cross,More descriptive name,1460,Local Variable
T01xT,first_derivative_second_vector_cross,More descriptive name,1461,Local Variable
T0xT_1,cross_product_derivative,More descriptive name,1462,Local Variable
A,transformation_matrix,More descriptive name,1466,Local Variable
T0_Tder,first_vector_second_derivative_dot,More descriptive name,1487,Local Variable
T0der_T,first_derivative_second_vector_dot,More descriptive name,1488,Local Variable
T0der_Tder,derivatives_dot_product,More descriptive name,1489,Local Variable
T0derder_T,second_derivative_vector_dot,More descriptive name,1490,Local Variable
T0_Tderder,vector_second_derivative_dot,More descriptive name,1491,Local Variable
T0_T_der,vector_dot_derivative,More descriptive name,1492,Local Variable
T0_T_derder,vector_dot_second_derivative,More descriptive name,1493,Local Variable
T0xTder,vector_derivative_cross,More descriptive name,1495,Local Variable
T0derxT,derivative_vector_cross,More descriptive name,1496,Local Variable
T0derxTder,derivatives_cross_product,More descriptive name,1497,Local Variable
T0derderxT,second_derivative_vector_cross,More descriptive name,1498,Local Variable
T0xTderder,vector_second_derivative_cross,More descriptive name,1499,Local Variable
T0xT_der,cross_product_derivative,More descriptive name,1500,Local Variable
